도서명	분야
여행의 이유	시/에세이
고요할수록 밝아지는 것들	시/에세이
나는 나로 살기로 했다	시/에세이
90년생이 온다	경제/경영
철학은 어떻게 삶의 무기가 되는가	인문
봉제인형 살인사건	소설
아주 작은 습관의 힘	자기계발
꽃을 보듯 너를 본다(J.H CLASSIC 2)	시/에세이
돌이킬 수 없는 약속	소설
흔한남매. 1	어린이(초등)
"곰돌이 푸, 행복한 일은 매일 있어"	시/에세이
해커스 토익 기출 보카 TOEIC VOCA(개정판 5판)	외국어
82년생 김지영(오늘의 젊은 작가 13)	소설
12가지 인생의 법칙(30만부 기념 리커버 에디션)	인문
언어의 온도(170만부 기념 에디션)	시/에세이
공부머리 독서법	인문
하마터면 열심히 살 뻔했다	시/에세이
50대 사건으로 보는 돈의 역사	경제/경영
죽음. 1	소설
오늘은 이만 좀 쉴게요(The cat edition)	시/에세이
반일 종족주의	정치/사회
사피엔스	인문
당신이 옳다(40만 부 기념 '한 사람' 리커버)	인문
말센스	자기계발
유럽 도시 기행. 1	인문
아가씨와 밤	소설
아몬드	소설
팩트풀니스	인문
추리 천재 엉덩이 탐정. 8: 괴도와 납치된 신부 사건	어린이(초등)
참 소중한 너라서(있는 그대로)	시/에세이
설민석의 삼국지. 1	인문
"걷는 사람, 하정우"	시/에세이
부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판)	경제/경영
천년의 질문. 1	소설
다산의 마지막 공부(10만부 기념 리커버 에디션)	자기계발
나미야 잡화점의 기적(2021 봄날 한정판)	소설
인어가 잠든 집	소설
지쳤거나 좋아하는 게 없거나	시/에세이
해커스 토익 RC 리딩(Hackers TOEIC Reading)(개정판)	외국어
트렌드 코리아 2019	경제/경영
추리 천재 엉덩이 탐정과 카레사건(추리 천재 엉덩이 탐정 S 1)	어린이(초등)
설민석의 조선왕조실록	역사/문화
죽고 싶지만 떡볶이는 먹고 싶어	시/에세이
심리학이 이렇게 쓸모 있을 줄이야	자기계발
개인주의자 선언	인문
빨강 머리 앤(더모던 감성클래식 2)	소설
역사의 쓸모	인문
