도서명	분야
월급쟁이 재테크 상식사전(개정판)	경제/경영
자존감 수업	인문
장군이네 떡집(만복이네 떡집 2)(난 책읽기가 좋아 시리즈)	어린이(초등)
사람은 어떻게 생각하고 배우고 기억하는가	자기계발
"엄마, 주식 사주세요(리커버 에디션)"	경제/경영
사서함 110호의 우편물	소설
말 그릇(벚꽃 에디션)(비울수록 사람을 더 채우는)	자기계발
선물주는산타의 주식투자 시크릿	경제/경영
체리새우: 비밀글입니다(문학동네청소년 42)	청소년
마음을 읽는 아이 오로르	소설
만복이네 떡집(난 책읽기가 좋아 3단계 54)	어린이(초등)
혼자 공부하는 파이썬	컴퓨터/IT
마음의 결	시/에세이
피프티 피플	소설
이러지도 저러지도 못하는 당신에게	시/에세이
백년운동	건강
"돈, 뜨겁게 사랑하고 차갑게 다루어라(코스톨라니 투자총서 1)"	경제/경영
어른의 어휘력	인문
백년 허리	건강
페스트(초판본)(1947년 오리지널 초판본 표지디자인)	소설
사람에 대한 예의	인문
진짜 부자 가짜 부자	경제/경영
설민석의 세계사 대모험. 4	어린이(초등)
영어회화 이디엄(미국적인 너무나 미국적인)	외국어
마법천자문. 47: 잠드는 시간! 밤 야	어린이(초등)
브람스를 좋아하세요(세계문학전집 179)	소설
해커스 보카(Hackers Vocabulary)(개정판 2판)	외국어
이유가 많으니 그냥이라고 할 수밖에	시/에세이
역사의 쓸모	인문
빨강 머리 앤(더모던 감성클래식 2)	소설
말센스	자기계발
기적의 말하기 영단어 1000(무료 MP3 파일)	외국어
42가지 마음의 색깔	유아(0~7세)
철학은 어떻게 삶의 무기가 되는가	인문
너와 함께라면 인생도 여행이다(겨울 에디션)	시/에세이
영어 회화의 결정적 단어들	외국어
경제기사 궁금증 300문 300답(2020)	경제/경영
부동산 상식사전	경제/경영
통찰과 역설	자기계발
더 위험한 과학책	과학
해커스 토익 왕기초 RC Reading 리딩	외국어
그림의 힘(리커버 에디션)	자기계발
못 참는 아이 욱하는 부모	가정/육아
지구에서 한아뿐	소설
미라클모닝	자기계발
인간 실격(세계문학전집 103)	소설
좋은 말씀	시/에세이
초집중	자기계발
수상한 화장실(북멘토 가치동화 38)	어린이(초등)
모순	소설
원피스. 95	만화
당신의 삶에 명상이 필요할 때	자기계발
"안녕, 소중한 사람"	시/에세이
초격차: 리더의 질문	경제/경영
